3.2179 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
41.6671 	EXP 	grating: ori = 0.0
41.6671 	EXP 	Fixation: autoDraw = True
42.6671 	EXP 	Fixation: autoDraw = False
42.6671 	EXP 	grating: autoDraw = True
42.9670 	EXP 	grating: autoDraw = False
43.7381 	EXP 	New trial (rep=10, index=0): None
43.7406 	DATA 	Keypress: down
43.7503 	EXP 	Fixation: autoDraw = False
43.7503 	EXP 	grating: autoDraw = False
43.7503 	EXP 	grating: ori = -2.0
43.7503 	EXP 	Fixation: autoDraw = True
44.7504 	EXP 	Fixation: autoDraw = False
44.7504 	EXP 	grating: autoDraw = True
45.0503 	EXP 	grating: autoDraw = False
46.0038 	EXP 	New trial (rep=11, index=0): None
46.0058 	DATA 	Keypress: down
46.0169 	EXP 	Fixation: autoDraw = False
46.0169 	EXP 	grating: autoDraw = False
46.0169 	EXP 	grating: ori = 0.0
46.0169 	EXP 	Fixation: autoDraw = True
47.0170 	EXP 	Fixation: autoDraw = False
47.0170 	EXP 	grating: autoDraw = True
47.3170 	EXP 	grating: autoDraw = False
48.2542 	EXP 	New trial (rep=12, index=0): None
48.2562 	DATA 	Keypress: down
48.2668 	EXP 	Fixation: autoDraw = False
48.2668 	EXP 	grating: autoDraw = False
48.2668 	EXP 	grating: ori = 0.0
48.2668 	EXP 	Fixation: autoDraw = True
49.2668 	EXP 	Fixation: autoDraw = False
49.2668 	EXP 	grating: autoDraw = True
49.5667 	EXP 	grating: autoDraw = False
50.0875 	EXP 	New trial (rep=13, index=0): None
50.0893 	DATA 	Keypress: up
50.1001 	EXP 	Fixation: autoDraw = False
50.1001 	EXP 	grating: autoDraw = False
50.1001 	EXP 	grating: ori = 0.0
50.1001 	EXP 	Fixation: autoDraw = True
51.1002 	EXP 	Fixation: autoDraw = False
51.1002 	EXP 	grating: autoDraw = True
51.4000 	EXP 	grating: autoDraw = False
52.2046 	EXP 	New trial (rep=14, index=0): None
52.2071 	DATA 	Keypress: down
52.2167 	EXP 	Fixation: autoDraw = False
52.2167 	EXP 	grating: autoDraw = False
52.2167 	EXP 	grating: ori = -3.0
52.2167 	EXP 	Fixation: autoDraw = True
53.2167 	EXP 	Fixation: autoDraw = False
53.2167 	EXP 	grating: autoDraw = True
53.5166 	EXP 	grating: autoDraw = False
54.1857 	DATA 	Keypress: down
54.2043 	EXP 	New trial (rep=15, index=0): None
54.2166 	EXP 	Fixation: autoDraw = False
54.2166 	EXP 	grating: autoDraw = False
54.2166 	EXP 	grating: ori = 0.0
54.2166 	EXP 	Fixation: autoDraw = True
55.2167 	EXP 	Fixation: autoDraw = False
55.2167 	EXP 	grating: autoDraw = True
55.5166 	EXP 	grating: autoDraw = False
56.4204 	EXP 	New trial (rep=16, index=0): None
56.4224 	DATA 	Keypress: down
56.4332 	EXP 	Fixation: autoDraw = False
56.4332 	EXP 	grating: autoDraw = False
56.4332 	EXP 	grating: ori = -5.0
56.4332 	EXP 	Fixation: autoDraw = True
57.4332 	EXP 	Fixation: autoDraw = False
57.4332 	EXP 	grating: autoDraw = True
57.7331 	EXP 	grating: autoDraw = False
58.3210 	EXP 	New trial (rep=17, index=0): None
58.3234 	DATA 	Keypress: down
58.3333 	EXP 	Fixation: autoDraw = False
58.3333 	EXP 	grating: autoDraw = False
58.3333 	EXP 	grating: ori = 1.0
58.3333 	EXP 	Fixation: autoDraw = True
59.3332 	EXP 	Fixation: autoDraw = False
59.3332 	EXP 	grating: autoDraw = True
59.6331 	EXP 	grating: autoDraw = False
60.5370 	EXP 	New trial (rep=18, index=0): None
60.5391 	DATA 	Keypress: up
60.5496 	EXP 	Fixation: autoDraw = False
60.5496 	EXP 	grating: autoDraw = False
60.5496 	EXP 	grating: ori = 0.0
60.5496 	EXP 	Fixation: autoDraw = True
61.5501 	EXP 	Fixation: autoDraw = False
61.5501 	EXP 	grating: autoDraw = True
61.8497 	EXP 	grating: autoDraw = False
62.5367 	EXP 	New trial (rep=19, index=0): None
62.5384 	DATA 	Keypress: down
62.5495 	EXP 	Fixation: autoDraw = False
62.5495 	EXP 	grating: autoDraw = False
62.5495 	EXP 	grating: ori = 3.0
62.5495 	EXP 	Fixation: autoDraw = True
62.6353 	DATA 	Keypress: down
63.5498 	EXP 	Fixation: autoDraw = False
63.5498 	EXP 	grating: autoDraw = True
63.8496 	EXP 	grating: autoDraw = False
64.3365 	EXP 	New trial (rep=20, index=0): None
64.3385 	DATA 	Keypress: down
64.3496 	EXP 	Fixation: autoDraw = False
64.3496 	EXP 	grating: autoDraw = False
64.3496 	EXP 	grating: ori = 0.0
64.3496 	EXP 	Fixation: autoDraw = True
65.3495 	EXP 	Fixation: autoDraw = False
65.3495 	EXP 	grating: autoDraw = True
65.6496 	EXP 	grating: autoDraw = False
66.2535 	EXP 	New trial (rep=21, index=0): None
66.2555 	DATA 	Keypress: down
66.2661 	EXP 	Fixation: autoDraw = False
66.2661 	EXP 	grating: autoDraw = False
66.2661 	EXP 	grating: ori = -2.0
66.2661 	EXP 	Fixation: autoDraw = True
67.2664 	EXP 	Fixation: autoDraw = False
67.2664 	EXP 	grating: autoDraw = True
67.5661 	EXP 	grating: autoDraw = False
68.3031 	EXP 	New trial (rep=22, index=0): None
68.3051 	DATA 	Keypress: down
68.3162 	EXP 	Fixation: autoDraw = False
68.3162 	EXP 	grating: autoDraw = False
68.3162 	EXP 	grating: ori = 0.0
68.3162 	EXP 	Fixation: autoDraw = True
69.3162 	EXP 	Fixation: autoDraw = False
69.3162 	EXP 	grating: autoDraw = True
69.6160 	EXP 	grating: autoDraw = False
70.0190 	EXP 	New trial (rep=23, index=0): None
70.0209 	DATA 	Keypress: up
70.0327 	EXP 	Fixation: autoDraw = False
70.0327 	EXP 	grating: autoDraw = False
